distance_km,traffic,hour,weekday,type_route,weather,duration_minutes
1652.58,HIGH,4,6,MIXED,CLEAR,3305.16
2219.5,LOW,21,4,MIXED,CLEAR,1902.43
1717.35,LOW,9,1,URBAN,SNOW,5152.05
1344.5,LOW,13,1,URBAN,SNOW,4033.5
1001.59,LOW,20,2,URBAN,CLEAR,2003.18
1429.77,LOW,3,5,MIXED,CLEAR,1225.52
474.67,LOW,0,6,URBAN,CLEAR,949.34
2123.85,LOW,17,2,URBAN,CLEAR,4247.7
2310.66,LOW,19,3,URBAN,SNOW,6931.98
2160.11,MEDIUM,18,5,HIGHWAY,CLEAR,1620.08
837.05,LOW,10,4,MIXED,CLEAR,717.47
799.76,LOW,13,0,MIXED,RAIN,788.33
473.16,LOW,17,1,URBAN,SNOW,1419.48
2184.97,LOW,22,2,URBAN,CLEAR,4369.94
239.83,LOW,23,4,HIGHWAY,CLEAR,143.9
2983.41,HIGH,13,1,HIGHWAY,FOG,3729.26
1062.44,LOW,23,5,MIXED,CLEAR,910.66
92.72,LOW,15,6,MIXED,CLEAR,79.47
241.88,LOW,5,3,MIXED,CLEAR,207.33
1881.99,LOW,5,4,URBAN,RAIN,7033.19
2587.65,HIGH,10,3,MIXED,CLEAR,5175.3
1476.87,HIGH,21,5,MIXED,CLEAR,2953.74
2999.21,LOW,1,1,URBAN,RAIN,6898.18
2374.66,MEDIUM,10,5,URBAN,CLEAR,7123.98
1691.26,LOW,3,4,HIGHWAY,CLEAR,1014.76
901.21,LOW,13,2,MIXED,CLEAR,772.47
2887.8,LOW,18,0,MIXED,CLEAR,2475.26
46.17,LOW,2,1,URBAN,CLEAR,92.34
2350.18,MEDIUM,22,0,URBAN,CLEAR,7050.54
2576.23,HIGH,11,0,HIGHWAY,FOG,3220.29
1276.19,LOW,0,3,URBAN,FOG,3190.48
138.0,MEDIUM,8,1,MIXED,FOG,207.0
2527.03,LOW,10,4,MIXED,CLEAR,2166.03
2461.84,LOW,23,6,URBAN,CLEAR,4923.68
370.64,LOW,8,1,URBAN,CLEAR,741.28
2427.24,MEDIUM,14,4,MIXED,FOG,3640.86
829.3,HIGH,16,5,MIXED,FOG,2073.25
2350.01,HIGH,14,5,URBAN,CLEAR,14100.06
1191.4,LOW,23,6,HIGHWAY,RAIN,822.07
1789.25,MEDIUM,4,5,HIGHWAY,FOG,1677.42
647.3,LOW,20,3,HIGHWAY,RAIN,446.64
2963.81,MEDIUM,3,1,URBAN,SNOW,13337.14
2080.04,MEDIUM,6,0,URBAN,RAIN,7176.14
2233.27,LOW,14,4,HIGHWAY,CLEAR,1339.96
1633.79,HIGH,21,6,MIXED,SNOW,4901.37
127.61,HIGH,15,3,HIGHWAY,RAIN,146.75
1076.77,HIGH,8,4,MIXED,RAIN,2476.57
943.92,MEDIUM,5,0,URBAN,CLEAR,2831.76
2752.87,MEDIUM,12,4,URBAN,RAIN,9497.4
1352.58,HIGH,14,4,MIXED,CLEAR,2705.16
2181.35,MEDIUM,22,0,URBAN,CLEAR,6544.05
2155.21,LOW,8,6,HIGHWAY,RAIN,2854.36
2647.35,LOW,9,6,HIGHWAY,SNOW,2382.61
2407.55,LOW,22,5,MIXED,CLEAR,2063.61
1411.63,LOW,2,4,HIGHWAY,CLEAR,846.98
1491.69,LOW,8,1,HIGHWAY,CLEAR,895.01
817.22,HIGH,8,4,URBAN,CLEAR,4903.32
1828.66,LOW,3,5,MIXED,CLEAR,1567.42
410.08,MEDIUM,10,0,URBAN,CLEAR,2211.7
2567.52,HIGH,23,2,HIGHWAY,CLEAR,2567.52
42.95,LOW,2,2,MIXED,RAIN,42.34
2272.39,LOW,15,0,URBAN,RAIN,5226.5
2807.71,HIGH,11,2,URBAN,CLEAR,16846.26
867.46,HIGH,20,6,MIXED,CLEAR,1734.92
1809.4,LOW,8,3,URBAN,CLEAR,3618.8
2049.82,MEDIUM,12,5,MIXED,CLEAR,4666.92
2747.36,LOW,1,4,HIGHWAY,CLEAR,1648.42
926.92,LOW,5,5,MIXED,FOG,993.13
1746.55,HIGH,15,0,HIGHWAY,CLEAR,1746.55
1141.12,LOW,19,2,HIGHWAY,CLEAR,684.67
2721.69,LOW,21,5,MIXED,CLEAR,2332.88
153.79,MEDIUM,13,2,URBAN,RAIN,530.58
1869.97,MEDIUM,8,0,MIXED,FOG,2804.95
2109.33,MEDIUM,19,3,HIGHWAY,RAIN,1819.3
798.59,LOW,1,1,URBAN,CLEAR,1597.18
2804.73,MEDIUM,2,0,URBAN,CLEAR,8414.19
2296.14,HIGH,21,1,HIGHWAY,CLEAR,2296.14
1010.29,LOW,9,6,URBAN,CLEAR,2020.58
2477.29,MEDIUM,9,5,URBAN,CLEAR,7431.87
756.74,LOW,7,3,URBAN,CLEAR,1513.48
271.04,LOW,22,6,HIGHWAY,FOG,332.77
2440.13,MEDIUM,8,2,HIGHWAY,CLEAR,1830.1
724.72,HIGH,6,2,HIGHWAY,CLEAR,724.72
497.39,MEDIUM,22,3,URBAN,CLEAR,1492.17
2404.01,LOW,17,4,URBAN,SNOW,7212.03
2049.32,LOW,13,4,MIXED,SNOW,2634.84
1549.2,MEDIUM,14,1,URBAN,CLEAR,4647.6
2704.79,HIGH,17,0,HIGHWAY,CLEAR,2704.79
1216.3,LOW,22,3,MIXED,CLEAR,1042.54
1653.74,LOW,3,3,URBAN,CLEAR,3307.48
963.11,MEDIUM,11,5,MIXED,FOG,1444.66
220.94,HIGH,7,4,HIGHWAY,CLEAR,220.94
461.96,LOW,19,4,MIXED,CLEAR,395.97
1040.55,MEDIUM,13,3,URBAN,RAIN,3589.9
803.18,LOW,12,2,URBAN,CLEAR,1606.36
2390.2,HIGH,2,5,HIGHWAY,RAIN,2748.73
2699.31,MEDIUM,8,6,MIXED,CLEAR,3239.17
2760.37,LOW,8,4,URBAN,CLEAR,5520.74
1885.0,HIGH,11,5,URBAN,CLEAR,11310.0
1114.29,LOW,10,4,MIXED,CLEAR,955.11
763.16,HIGH,17,1,HIGHWAY,CLEAR,763.16
2211.4,MEDIUM,18,4,MIXED,CLEAR,2653.68
2352.44,LOW,6,5,URBAN,CLEAR,4704.88
2984.7,LOW,18,5,HIGHWAY,RAIN,2059.44
2778.13,HIGH,21,4,URBAN,FOG,20835.97
2462.26,MEDIUM,17,0,HIGHWAY,FOG,2308.37
218.77,MEDIUM,3,3,URBAN,CLEAR,656.31
408.26,LOW,23,5,MIXED,CLEAR,349.94
2336.69,LOW,5,3,HIGHWAY,RAIN,1612.32
1925.7,HIGH,4,5,URBAN,CLEAR,11554.2
78.52,LOW,6,0,URBAN,RAIN,180.6
1195.99,LOW,8,3,URBAN,CLEAR,2391.98
554.24,LOW,20,1,HIGHWAY,SNOW,498.82
259.11,LOW,14,6,MIXED,CLEAR,222.09
2146.58,HIGH,8,5,HIGHWAY,FOG,2683.22
532.51,HIGH,19,3,MIXED,RAIN,1224.77
2299.43,LOW,11,3,URBAN,CLEAR,4598.86
183.59,MEDIUM,2,6,HIGHWAY,FOG,172.12
265.23,LOW,18,2,MIXED,CLEAR,227.34
2735.35,LOW,23,3,URBAN,RAIN,6291.3
304.06,LOW,7,1,MIXED,RAIN,299.72
1913.35,HIGH,4,1,MIXED,CLEAR,3826.7
98.28,HIGH,10,2,HIGHWAY,CLEAR,98.28
1480.74,MEDIUM,21,3,MIXED,CLEAR,1776.89
793.05,LOW,7,6,MIXED,CLEAR,679.76
922.15,LOW,20,6,URBAN,FOG,2305.38
1192.63,MEDIUM,1,3,URBAN,RAIN,4114.57
1471.62,LOW,11,3,HIGHWAY,FOG,1103.71
791.99,MEDIUM,11,1,URBAN,SNOW,3563.95
572.89,HIGH,8,1,MIXED,CLEAR,1145.78
2280.03,HIGH,10,4,MIXED,CLEAR,4560.06
2112.88,LOW,15,1,HIGHWAY,SNOW,1901.59
1233.06,HIGH,4,6,HIGHWAY,CLEAR,1233.06
1163.55,LOW,21,3,MIXED,RAIN,1146.93
