word,score
# Positive English words
good,1.9
great,3.1
excellent,3.5
amazing,3.4
wonderful,2.9
fantastic,3.3
terrific,3.0
outstanding,3.1
superb,3.2
brilliant,3.0
awesome,3.4
love,3.3
best,2.8
perfect,3.0
superior,2.1
happy,2.3
pleased,1.8
satisfied,1.6
enjoy,2.0
enjoyed,2.0
impressive,2.5
incredible,3.1
exceptional,2.9
delighted,3.0
exceeded,2.0
recommend,2.2
worth,1.9
valuable,2.0
positive,2.1
favorite,2.3
nice,1.8
kind,2.1
helpful,2.1
friendly,2.2
generous,2.2
smart,1.6
intelligent,2.0
wise,1.8
beautiful,2.5
attractive,1.9
elegant,1.9
pleasant,1.8
reliable,1.6
trustworthy,2.3
honest,2.2
joy,2.4
excited,2.3
glad,1.9
thrilled,2.9
pleased,1.9
impressed,2.1
grateful,2.2
thankful,2.2
satisfied,1.7
content,1.5
proud,1.9
win,2.5
winning,2.3
won,2.2
success,2.0
successful,2.1
achievement,1.9
achieve,1.8
accomplished,1.9
hero,2.3
blessing,2.4
blessed,2.4
congratulations,2.5
congrats,2.3
cheers,1.9
fun,2.1
funny,1.7
humor,1.6
laugh,1.9
laughing,1.8
lol,1.9
smile,2.0
smiling,2.0
amen,1.9
praise,2.0
praising,2.0
praised,2.0
thank,1.9
thanks,1.9
thanked,1.9
thanking,1.9
appreciate,2.1
appreciated,2.1
appreciating,2.1
welcome,1.8
welcomed,1.8
greeting,1.6
greet,1.6
reward,1.9
rewarding,1.9
rewarded,1.9
award,1.8
awarded,1.8
benefit,1.6
productive,2.2
optimistic,2.1
hopeful,1.9
promising,2.3
innovative,2.4
creative,2.2
dedicated,1.8
loyal,2.0
authentic,1.9
genuine,1.9
ethical,1.7
thorough,1.6
insightful,2.1
thoughtful,2.0
clean,1.5
fresh,1.7
vibrant,2.2
energetic,2.1
lively,2.0
enthusiastic,2.3
passionate,2.4
motivated,2.0
skillful,1.9
competent,1.7
professional,1.7
affordable,1.7
convenient,1.6
efficient,1.8
effective,1.7
resourceful,1.8
practical,1.5
sensible,1.5
reasonable,1.5
peaceful,1.8
calm,1.6
relaxing,1.9
comfortable,1.8
cozy,1.9
secure,1.7
loving,2.5
caring,2.2
supportive,2.0
encouraging,2.1
empowering,2.3
inspiring,2.4
enlightening,2.2
informative,1.6
educational,1.5
memorable,1.9
unforgettable,2.4
fascinating,2.0
interesting,1.7
compelling,1.9
engaging,1.8
charming,2.0
adorable,2.2
cute,1.8
lovely,2.1
delightful,2.2
satisfying,1.8
refreshing,1.9
revitalizing,2.0
rejuvenating,2.0
healing,1.9
nourishing,1.8
healthy,1.7
nutritious,1.6
tasty,1.8
delicious,2.0
flavorful,1.9
yummy,2.0
scrumptious,2.2
appetizing,1.8
mouth-watering,2.1

# Negative English words
bad,-2.5
poor,-2.0
terrible,-3.4
horrible,-3.2
awful,-2.9
disappointing,-2.2
disappointed,-2.1
worst,-3.1
waste,-2.3
useless,-2.1
hate,-3.0
dislike,-2.1
regret,-2.0
unfortunately,-1.9
problem,-1.8
broken,-1.9
damaged,-2.0
defective,-2.1
fails,-2.0
failed,-2.0
inferior,-1.8
worse,-2.3
annoying,-2.2
annoyed,-2.1
frustrated,-2.0
unhappy,-2.1
dissatisfied,-2.2
negative,-2.0
complaint,-1.9
stupid,-2.5
dumb,-2.3
idiot,-2.8
idiotic,-2.7
fool,-2.2
foolish,-2.1
ridiculous,-2.0
pathetic,-2.6
