name,rating,reviews,type,url,image_url
The Crocodile Farm,4.4,"(1,908)",4.4,https://www.tripadvisor.com/Attraction_Review-g297948-d3560332-Reviews-The_Crocodile_Farm-Midoun_Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/20/04/ef/photo2jpg.jpg?w=600&h=400&s=1
Djerbahood,4.6,(735),4.6,https://www.tripadvisor.com/Attraction_Review-g297941-d6957502-Reviews-Djerbahood-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/a7/e3/ee/caption.jpg?w=600&h=-1&s=1
Musee De Guellala,4.4,"(1,126)",4.4,https://www.tripadvisor.com/Attraction_Review-g297941-d480908-Reviews-Musee_De_Guellala-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/04/66/09/guellala-museum-les-jardins.jpg?w=600&h=400&s=1
Djerba Explore,4.3,"(1,113)",4.3,https://www.tripadvisor.com/Attraction_Review-g297941-d647947-Reviews-Djerba_Explore-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/91/46/f9/crocodilos.jpg?w=600&h=400&s=1
Ranch Adada Djerba,4.8,(542),4.8,https://www.tripadvisor.com/Attraction_Review-g297941-d7647098-Reviews-Ranch_Adada_Djerba-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cc/91/24/le-ranch.jpg?w=600&h=400&s=1
Ranch Yassmina Djerba La Douce,4.9,(239),4.9,https://www.tripadvisor.com/Attraction_Review-g297948-d10544697-Reviews-Ranch_Yassmina_Djerba_La_Douce-Midoun_Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/96/e3/3e/20180626-135241-largejpg.jpg?w=600&h=400&s=1
El Ghriba Synagogue,4.0,"(1,052)",4.0,https://www.tripadvisor.com/Attraction_Review-g297941-d477280-Reviews-El_Ghriba_Synagogue-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/cc/ec/a8/caption.jpg?w=600&h=400&s=1
Lalla Hadria Museum,4.4,(229),4.4,https://www.tripadvisor.com/Attraction_Review-g297948-d7110497-Reviews-Lalla_Hadria_Museum-Midoun_Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8b/f6/f9/interno.jpg?w=600&h=-1&s=1
Jama Fadloud (Mosque),4.0,(83),4.0,https://www.tripadvisor.com/Attraction_Review-g297948-d480906-Reviews-Jama_Fadloud_Mosque-Midoun_Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/3b/88/19/caption.jpg?w=600&h=400&s=1
Fort Ghazi Mustapha,3.8,(163),3.8,https://www.tripadvisor.com/Attraction_Review-g1187636-d3326953-Reviews-Fort_Ghazi_Mustapha-Houmt_Souk_Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/4e/05/4b/fort-ghazi-mustapha.jpg?w=600&h=-1&s=1
Dar Jilani La maison des Arts & Métiers,4.5,(71),4.5,https://www.tripadvisor.com/Attraction_Review-g297941-d6417462-Reviews-Dar_Jilani_La_maison_des_Arts_Metiers-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f5/20/f8/20200903-172536-largejpg.jpg?w=600&h=400&s=1
Sidi Yâtî Mosque,4.4,(17),4.4,https://www.tripadvisor.com/Attraction_Review-g297941-d8423247-Reviews-Sidi_Yati_Mosque-Djerba_Island_Medenine_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/75/96/95/caption.jpg?w=600&h=400&s=1
