name,rating,reviews,type,url,image_url
Hammamet Beach,3.9,"(2,384)",3.9,https://www.tripadvisor.com/Attraction_Review-g297943-d632506-Reviews-Hammamet_Beach-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/00/04/0c/hammamet-beach.jpg?w=600&h=-1&s=1
Yasmin Hammamet,3.7,"(3,119)",3.7,https://www.tripadvisor.com/Attraction_Review-g297943-d1930274-Reviews-Yasmin_Hammamet-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/42/c9/b0/yasmin-hammamet.jpg?w=600&h=400&s=1
Friguia Park,4.0,"(1,341)",4.0,https://www.tripadvisor.com/Attraction_Review-g297943-d1024231-Reviews-Friguia_Park-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/b9/b7/57/friguia-park.jpg?w=600&h=400&s=1
Medina of Yasmine Hammamet,3.6,"(2,994)",3.6,https://www.tripadvisor.com/Attraction_Review-g297943-d480907-Reviews-Medina_of_Yasmine_Hammamet-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7a/ab/3b/caption.jpg?w=600&h=400&s=1
Kasbah of Hammamet,3.9,(412),3.9,https://www.tripadvisor.com/Attraction_Review-g297943-d480903-Reviews-Kasbah_of_Hammamet-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/3f/f2/65/view-from-kasbah-of-hammamet.jpg?w=600&h=400&s=1
Plage de La Mansourah,4.5,(87),4.5,https://www.tripadvisor.com/Attraction_Review-g844554-d5540636-Reviews-Plage_de_La_Mansourah-Kelibia_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/02/43/1f/plage-el-mansoura.jpg?w=600&h=-1&s=1
Natural Hot Springs,4.0,(50),4.0,https://www.tripadvisor.com/Attraction_Review-g2446676-d2446682-Reviews-Natural_Hot_Springs-Korbous_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/eb/d0/8e/natural-hot-springs.jpg?w=600&h=-1&s=1
Pupput Roman Site,3.4,(133),3.4,https://www.tripadvisor.com/Attraction_Review-g297943-d668927-Reviews-Pupput_Roman_Site-Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ea/e8/08/entree-des-bains.jpg?w=600&h=400&s=1
Ruins of Kerkouane,4.4,(120),4.4,https://www.tripadvisor.com/Attraction_Review-g844554-d3547079-Reviews-Ruins_of_Kerkouane-Kelibia_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bc/b6/5c/ruins-of-kerkouane.jpg?w=600&h=-1&s=1
Fort de Kélibia,4.0,(117),4.0,https://www.tripadvisor.com/Attraction_Review-g844554-d6436969-Reviews-Fort_de_Kelibia-Kelibia_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/9c/20/ee/vue-depuis-le-fort-de.jpg?w=600&h=400&s=1
Foire Internationale de Nabeul,4.8,(6),4.8,https://www.tripadvisor.com/Attraction_Review-g317086-d20049846-Reviews-Foire_Internationale_de_Nabeul-Nabeul_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d0/30/58/fiera-di-nabeul.jpg?w=600&h=400&s=1
Medina Mediterranea,3.1,(20),3.1,https://www.tripadvisor.com/Attraction_Review-g11789307-d20355842-Reviews-Medina_Mediterranea-Yasmine_Hammamet_Hammamet_Nabeul_Governorate.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/9a/75/f8/caption.jpg?w=600&h=400&s=1
